,Player,Position,season,draft_score
122,Brandon Saad,LW,2011,1.7692242046450373
123,Alex Bourret,RW,2005,1.7688924774955
124,Seth Jones,D,2013,1.7680807618083376
125,Oliver Bjorkstrand,RW/LW,2013,1.7667250014351095
126,Drew Stafford,RW,2004,1.765785168481122
127,Brendan Perlini,LW/RW,2014,1.7650043893987275
128,Brett MacLean,RW,2007,1.7646466658674609
129,Michael Del Zotto,D,2008,1.7642558727580726
130,Kyle Okposo,RW,2006,1.7631476772280474
131,Greg McKegg,C,2010,1.7621645692808383
132,Stefan Elliott,D,2009,1.760054698068179
133,Jason Robertson,LW/RW,2017,1.7587393738248016
134,Sebastian Aho,W/C,2015,1.7586029364943676
135,Ivan Provorov,D,2015,1.757382750585009
136,Anthony Beauvillier,C/W,2015,1.7562536947470935
137,Cal O'Reilly,C/LW,2005,1.754344471508422
138,Phil Kessel,RW,2006,1.751649643407633
139,Justin Shugg,RW/LW,2010,1.751265024956088
140,Jared Spurgeon,D,2008,1.750867436108389
141,Bobby Hughes,C,2006,1.749750193123936
142,Cam Barker,D,2004,1.7497255925820308
143,Marek Zagrapan,C,2005,1.74921322560524
144,Patrik Laine,RW/LW,2016,1.7486137625512685
145,Anthony Mantha,RW/LW,2013,1.7477045635848665
146,Patrick Wiercioch,D,2008,1.7473753783250907
147,Taylor Raddysh,RW,2016,1.7469430976698508
148,Mark McNeill,C/RW,2011,1.7467610349590377
149,Mikko Rantanen,RW,2015,1.7458704404955196
150,Robert Nilsson,LW/RW,2003,1.745824472571901
151,Brayden Schenn,C/LW,2009,1.7436011270981184
152,Adam Clendening,D,2011,1.7435234003723417
153,Hunter Shinkaruk,C/W,2013,1.7434501326421148
154,Valentin Zykov,LW/RW,2013,1.7420114183742235
155,Brendan Gaunce,C/LW,2012,1.742004186646736
156,Ryan O'Reilly,C,2009,1.740011903532374
157,Zach Boychuk,W/C,2008,1.7397396571887174
158,Matt Puempel,LW/RW,2011,1.736846196197111
159,Colton Yellow Horn,LW,2005,1.7360094348223072
160,Aaron Ekblad,D,2014,1.73596675757818
161,James Sheppard,C/LW,2006,1.7356084270652645
162,Jordan Caron,RW/LW,2009,1.7353499375514088
163,Nick Cousins,C/W,2011,1.735029988072264
164,John Hughes,C/RW,2006,1.734847435466588
165,Dion Phaneuf,D,2003,1.7347412629106105
166,Brad Richardson,C/LW,2003,1.7331884466850387
167,Gilbert Brulé,C/RW,2005,1.73149027395156
168,Kyle Maksimovich,LW,2016,1.7312260411915206
169,Nail Yakupov,RW/LW,2012,1.7309290514767055
170,Nathan Beaulieu,D,2011,1.7302463000869017
171,Daniel Carcillo,LW,2003,1.7296914628623865
172,Cam Fowler,D,2010,1.7293459889141944
173,Phillip Danault,C,2011,1.7290064397809215
174,Ryan Ellis,D,2009,1.7281078082904766
175,Dmitri Kulikov,D,2009,1.727409992427607
176,Tyler Ennis,LW/RW,2008,1.726233061187982
177,Ryan McDonough,C,2006,1.725647657431732
178,Dylan Strome,C/LW,2015,1.7255806435997387
179,Vince Dunn,D,2015,1.7226693634311125
180,Teuvo Teräväinen,W/C,2012,1.7225370840191894
181,Cory Urquhart,C,2003,1.7223688575563605
182,Cal Clutterbuck,RW,2006,1.7215606382357016
183,Brad Marchand,LW,2006,1.7214531830333606
184,Anthony Stewart,RW,2003,1.72083330981218
185,Darnell Nurse,D,2013,1.720587233278804
186,Cory Emmerton,C,2006,1.7203243493141924
187,Zack Kassian,RW,2009,1.7203142905288367
188,Nikolay Goldobin,RW/LW,2014,1.7203069926968473
189,Jimmy Lodge,C/RW,2013,1.719751381566212
190,Kamil Kreps,C/RW,2003,1.718424893063827
191,Cody Glass,C,2017,1.7180331738028398
192,Dan Ryder,C,2005,1.7176135028907118
193,Zach Werenski,D,2015,1.7165682018013269
194,Kris Russell,D,2005,1.7160600373792216
195,Jonathan Toews,C,2006,1.7152307831227975
196,Zack Torquato,C,2007,1.715198521592396
197,Peter Holland,C,2009,1.7150532828470209
198,Chris Terry,LW/RW,2007,1.7145077703443512
199,Paul Bittner,LW,2015,1.7132717577736114
200,Oscar Möller,LW,2007,1.712506523774407
201,Greg Nemisz,RW,2008,1.7122223752072143
202,Charles Hudon,W/C,2012,1.7103596278796287
203,A.J. Thelen,D,2004,1.7097837805400387
204,Jean-Gabriel Pageau,C/RW,2011,1.709585927825614
205,Ryan Murray,D,2012,1.7067036211543696
206,Kerby Rychel,LW/RW,2013,1.706073384749493
207,Thomas Hickey,D,2007,1.7041279768907827
208,Nigel Dawes,LW/RW,2003,1.7026994604906651
209,Matt Dumba,D,2012,1.7020732015863627
210,John Quenneville,C/W,2014,1.6992404440136437
211,Andrew Fritsch,RW,2011,1.6989763335025536
212,Peter Tsimikalis,C,2004,1.698596779463307
213,Derrick Pouliot,D,2012,1.6968742229642335
214,Adam Erne,LW/RW,2013,1.6964333999965477
215,Joshua Ho-Sang,RW,2014,1.6958660973990827
216,Ryan Murphy,D,2011,1.695257283844454
217,Evan Brophey,C/LW,2005,1.694486812060442
218,Charlie McAvoy,D,2016,1.6940505426105639
219,Louis-Philippe Martin,RW,2003,1.6930381573674982
220,Tage Thompson,C/RW,2016,1.692724618615695
221,Michael McLeod,C,2016,1.6913979658616949
222,Nathan Moon,RW,2008,1.6912742151772737
223,Jordan Schroeder,W/C,2009,1.6910651405278867
224,Daniel Catenacci,LW/C,2011,1.6899805905089593
225,Tyson Baillie,C/RW,2014,1.68967249623357
226,Nikita A. Popugayev,RW/LW,2017,1.6894664167809827
227,Ryan Wilson,D,2005,1.6881554005643378
228,Clarke MacArthur,LW,2003,1.6854605103680855
229,Michael Stone,D,2008,1.6853539357927274
230,Jayce Hawryluk,C/RW,2014,1.6852293680146446
231,Jake DeBrusk,LW,2015,1.6850994883465038
232,Antoine Morand,C,2017,1.6847585367754792
233,Scott Glennie,RW/C,2009,1.684183546510011
234,Jakob Chychrun,D,2016,1.683888633525422
235,Ryan O'Marra,RW/C,2005,1.6830171838198766
236,Ty Rattie,RW,2011,1.6825159316903076
237,Brandon Dubinsky,C/LW,2004,1.682396386462759
238,Josh Morrissey,D,2013,1.6806614596187615
239,Chase De Leo,C,2014,1.6791913815949455
240,Matthew Phillips,C/RW,2016,1.6789144635510325
241,Shane McColgan,RW/C,2011,1.677789699146216
242,Olli Määttä,D,2012,1.6772524803548177
243,Nikita Scherbak,RW/LW,2014,1.677146913982348
244,Yevgeni Svechnikov,RW/LW,2015,1.6767308538591736
245,William Bitten,RW/C,2016,1.6765478006183403
246,Nicklas Jensen,RW/LW,2011,1.6764334598809434
247,Aleksander Barkov,C,2013,1.6763017116254333
248,Zach Bogosian,D,2008,1.676063858418185
249,Luca Caputi,LW,2007,1.6735872855274794
250,Mikael Granlund,C/W,2010,1.6715263066380652
251,Morgan Rielly,D,2012,1.670924428648974
252,Ryan Hartman,W/C,2013,1.6705098764938997
253,Sami Niku,D,2015,1.6704277053435892
254,Dylan Wruck,LW/C,2011,1.6694574099237176
255,Damon Severson,D,2012,1.6690823531241612
256,Emerson Etem,RW/LW,2010,1.6688045155076083
257,Kole Lind,RW,2017,1.6686906522050535
258,Linden Vey,C/RW,2009,1.667655593876172
259,Émile Poirier,LW/RW,2013,1.667632257629489
260,Brent Seabrook,D,2003,1.6675823826090326
261,Ethan Werek,C/LW,2009,1.6671172658902724
262,Morgan Frost,C,2017,1.6662653663699563
263,Michael Matheson,D,2012,1.665498203677458
264,Ryan Spooner,C/W,2010,1.6651483580691089
265,Yannick Weber,D,2007,1.6650402656467573
266,Rob Hisey,C,2003,1.6649137647332375
267,Tomas Hertl,C/LW,2012,1.6639032334663209
268,Shea Theodore,D,2013,1.6626737435235523
269,David Savard,D,2009,1.662622363398462
270,Nick Spaling,C/LW,2007,1.6624143688452315
271,Austen Keating,C,2017,1.661840914236945
272,Brad Ross,LW,2010,1.6604495878912853
273,Eric Cornel,C/RW,2014,1.6584745070381368
274,Kailer Yamamoto,RW,2017,1.6581411974347868
275,Sam Steel,C,2016,1.6581184599563858
276,Mathew Barzal,C,2015,1.6571848380479817
277,Matthew Strome,LW,2017,1.6553567055410185
278,Sébastien Bisaillon,D,2005,1.6541891803636148
279,Ryan Martindale,C,2010,1.6530334863847973
280,Tim Bozon,LW,2012,1.6516163732509292
281,Mark Scheifele,C,2011,1.6515388774352453
282,David Quenneville,D,2016,1.649646476362079
283,Alexandre Picard,D,2003,1.6492133376225555
284,Liam Reddox,LW,2004,1.649119351377578
285,Luca Sbisa,D,2008,1.648777971802201
286,Ivan Barbashyov,C/LW,2014,1.6483182373653702
287,Devin Setoguchi,RW,2005,1.6478884295015812
288,Tyler Soy,C,2015,1.6478284132063044
289,Jordan Weal,C/RW,2010,1.64566864870886
290,Zach Hamill,C/RW,2007,1.6452553812004402
291,Michael St. Croix,C/RW,2011,1.6448466643733917
292,Morgan Klimchuk,LW,2013,1.6445615632901511
293,Bruno Gervais,D,2003,1.641026256738488
294,Jordan Subban,D,2013,1.6394375694700782
295,Karl Alzner,D,2007,1.6386109585066195
296,Bryan Cameron,C/RW,2007,1.6380838959894644
297,Owen Tippett,LW/RW,2017,1.6378276563185397
298,Troy Rutkowski,D,2010,1.6372767834983852
299,Robert Thomas,C,2017,1.636284737204695
300,Josh Shalla,LW,2010,1.6360319935967729
301,Thomas Schemitsch,D,2015,1.6346538814874734
302,Petr Vrana,C,2003,1.6334939321603004
303,Brett Howden,C,2016,1.6331938796870034
304,Lucas Johansen,D,2016,1.6323244778363026
305,Josh Hennessy,C,2003,1.6304683472557233
306,Noel Hoefenmayer,D,2017,1.6298774443900665
307,Samuel Girard,D,2016,1.6281217802084236
308,Joe Morrow,D,2011,1.6278475602527946
309,Brendan Leipsic,LW/C,2012,1.6277491473140737
310,Jeff Schultz,D,2004,1.626904755234634
311,Jaret Anderson-Dolan,C,2017,1.6266240881096874
312,Angelo Esposito,C,2007,1.6253568759585697
313,Roland McKeown,D,2014,1.623142947092362
314,Ryan Sproul,D,2011,1.621881564487131
315,Dale Mitchell,RW,2007,1.6208699233601678
316,Artturi Lehkonen,LW/RW,2013,1.6200840486910073
317,Petr Straka,RW/LW,2010,1.6175017911293845
318,Jon Matsumoto,C,2005,1.6169594250126513
319,Travis Dermott,D,2015,1.6167768018742277
320,Mark Barberio,D,2008,1.6166497373510462
321,Thomas Chabot,D,2015,1.6165947366753302
322,Conner Bleackley,C,2014,1.616149965792666
