,Player,Position,season,draft_score
1807,Travis Dunstall,LW,2007,0.41451913287495834
1808,Patrick Newell,C/LW,2014,0.4143568955934026
1809,Joshua Day,D,2006,0.4139198731173749
1810,Michal Hlinka,RW,2009,0.4136566308475442
1811,Petr Koblasa,RW,2012,0.4133961036471079
1812,Andrej Nestrasil,C/W,2009,0.41335136193609956
1813,Riley Sheen,LW/D,2013,0.41334620441588815
1814,Carsen Twarynski,LW,2016,0.4126453940860446
1815,Jocktan Chainey,D,2017,0.41255311460853894
1816,Connor Gutenberg,C,2017,0.4121478326311043
1817,Max Zimmer,LW,2016,0.4111645946691681
1818,Matt Caria,C,2006,0.41066334336744437
1819,Jonathan Sciacca,D,2006,0.4098302424715421
1820,Michael Webster,D,2013,0.40982027748666927
1821,Clayton Phillips,D,2017,0.4098126503435145
1822,Josh Anderson,RW,2012,0.40899219823616506
1823,Jordan Nolan,C/W,2007,0.40898794728954446
1824,Garrett Wilson,LW,2009,0.40878404275081015
1825,Alexander Bumagin,LW,2005,0.40788808127007026
1826,Alex Basso,D,2011,0.40788684851914003
1827,Shaun Landolt,C,2003,0.40778609483639283
1828,Connor Bunnaman,C,2016,0.40747413501703733
1829,David Meckler,C,2005,0.40742927092728143
1830,Josiah Didier,D,2011,0.40691847069546216
1831,Scott MacDonald,LW,2010,0.40661260116872966
1832,Oliver Castleman,LW,2017,0.40595051414623284
1833,Jens Lööke,RW/LW,2015,0.40579753849727906
1834,Matt Campagna,C,2012,0.405551446796281
1835,Kevin Gagné,D,2010,0.40549777425790046
1836,Vladimír Roth,D,2008,0.40532841969277017
1837,Anton Slepyshev,LW/RW,2012,0.40476191083021074
1838,Alex Aleardi,C/W,2010,0.40468693828814606
1839,Yannick Rathgeb,D,2014,0.4037386370598095
1840,Markus Niemeläinen,D,2016,0.4032912215337343
1841,Chase Witala,LW/C,2013,0.4031095552867472
1842,Joseph Cecconi,D,2015,0.40306520447901517
1843,Mark Fraser,D,2005,0.4027795744490377
1844,Ian Duval,C,2006,0.4026413415004992
1845,Nolan Reid,D,2016,0.4025766975588493
1846,Shawn Matthias,C/LW,2006,0.4023010726485686
1847,Benoit Doucet,C/W,2004,0.40205803751540004
1848,Colin Smith,C/RW,2011,0.40200616250833754
1849,Barclay Goodrow,RW/LW,2011,0.4019292372628962
1850,Tom Sestito,LW,2006,0.4017668571135636
1851,Oskar Osala,LW/C,2006,0.4009711776165517
1852,Reid Jackson,D,2011,0.4004970841337877
1853,Corson Green,D,2017,0.40031073845983506
1854,Shane Bowers,C,2017,0.4001297539245935
1855,Billy Jenkins,LW/C,2012,0.3997623542056349
1856,Brenden Miller,D,2012,0.3997550898029653
1857,Colton Gillies,C/W,2007,0.39965996074741883
1858,Libor Hájek,D,2016,0.39945780902696326
1859,Patrick White,C,2007,0.3993890006034426
1860,Cole Hamblin,D,2011,0.39937413793824994
1861,Martin Latal,RW,2006,0.3987239557517055
1862,Alexander Romanovsky,LW/RW,2005,0.39869161837884165
1863,Logan Shaw,RW,2011,0.39853091240451344
1864,Joel Edmundson,D,2011,0.39838552474151734
1865,David Pastrnak,RW,2014,0.3975467157519783
1866,Alex Dostie,C,2015,0.3973657407160991
1867,Anze Kopitar,C,2005,0.39714880112648654
1868,Vadim Golubtsov,RW,2006,0.3957211083906206
1869,Derek Famulare,LW/RW,2008,0.39544319270429334
1870,Michael Chaput,C/W,2010,0.3953428792394661
1871,Artyom Anisimov,C,2006,0.39503712758300946
1872,Martin Bartos,LW,2006,0.39492758864629857
1873,Devante Stephens,D,2015,0.39455062226360815
1874,Patrick Coulombe,D,2003,0.3945183583162984
1875,Matteo Pietroniro,D,2017,0.3944733412119472
1876,Jean-François Leblanc,C,2011,0.394349987693633
1877,Riley Stillman,D,2016,0.39417336001929537
1878,Jean-Phillippe Carey,D,2006,0.39411584232524194
1879,Dmitri Lugin,RW/LW,2008,0.39360445830373125
1880,Igor Skorokhodov,RW,2004,0.39351813350853737
1881,Zach Harnden,RW,2008,0.3932657232607736
1882,Jakub Kindl,D,2005,0.39286014107748357
1883,Maxime Gravel,D,2013,0.39271512475177384
1884,Ondrej Sedivy,RW,2008,0.39263352648893923
1885,Nate Schnarr,C,2017,0.39257617480329055
1886,Jordan Rowley,D,2008,0.3923338154246143
1887,Cass Mappin,LW,2009,0.3922832863467869
1888,Guillaume Brisebois,D,2015,0.3920681692868486
1889,Frank Rediker,D,2003,0.39188305063646667
1890,Jesse Craige,D,2007,0.39121918116938403
1891,Kurt Etchegary,C,2013,0.39089360966706366
1892,Lane Werbowski,D,2009,0.3908292971185775
1893,Bryce Swan,RW,2006,0.390752845237897
1894,Radel Fazleyev,C/LW,2014,0.3907087887014194
1895,Cédric Chouinard,D,2017,0.39050217418316013
1896,Keegan Mantaro,D,2017,0.3903195241009084
1897,Austin Farley,LW,2012,0.38990034859982114
1898,Olivier Archambault,LW,2011,0.3898896059689012
1899,Artyom Sergeyev,D,2011,0.38987473800610933
1900,Curtis Hamilton,LW/RW,2010,0.38911103456084817
1901,Felix Schütz,C/LW,2006,0.38903061727885635
1902,Tyler Schmidt,D,2008,0.3883388474897743
1903,Brayden Burke,LW,2015,0.38800507364446485
1904,Marcus Davidsson,C/W,2017,0.38770902436092536
1905,Domenic Maiani,RW,2004,0.38768969232811085
1906,Jared Walsh,D,2014,0.3875120899892198
1907,Tye Felhaber,LW/C,2016,0.38699161439636803
1908,Justin Bailey,RW/LW,2013,0.3866232205808714
1909,Mark Shoemaker,D,2016,0.38501721305626513
1910,Matia Marcantuoni,C/LW,2012,0.38465310253687296
1911,Matt Mistele,LW/RW,2014,0.38358971282348414
1912,Tanner Laczynski,C,2015,0.3833574538367879
1913,Brandon Greenside,D,2008,0.3832128650398316
1914,Nick Grima,D,2017,0.3831274069239162
1915,Ryan Zuhlsdorf,D,2015,0.3829134637794642
1916,Tristin Llewellyn,D,2007,0.38231544265681905
1917,Garry Nunn,RW,2008,0.3822235496880021
1918,Jeff Schmidt,LW,2003,0.38204354504629934
1919,Gustav Björklund,C/W,2011,0.38203642133708177
1920,Yevgeni Dadonov,RW/LW,2007,0.38197099162898274
1921,Deven Sideroff,RW,2015,0.38193525312870036
1922,Alexander Bergström,RW/LW,2004,0.38188028814533304
1923,David Kolomatis,D,2007,0.38177581424214424
1924,Jason Gregoire,LW/C,2007,0.38143897625485007
1925,C.J. Garcia,D,2014,0.38116378602641954
1926,Luke Lockhart,RW,2011,0.38115190621669837
1927,Zach Hodder,D,2011,0.3810731683182624
1928,Tyler Brown,D,2015,0.38102462110971913
1929,Matthew Pistilli,RW,2007,0.38083832279625185
1930,Patrick Bajkov,RW/LW,2016,0.3807312476079904
1931,Alex Forsberg,LW/C,2013,0.3804128880649428
1932,Brandon Crawley,D,2015,0.3803516865469275
1933,Michael Joyaux,D,2015,0.3801293509783761
1934,Givani Smith,RW/LW,2016,0.38011095391457034
1935,Frédéric Gamelin,C,2012,0.3800210137070574
1936,Maxime Comtois,LW,2017,0.38001343604581744
1937,Charley Graaskamp,C,2014,0.3798980004100847
1938,T.J. Foster,C/RW,2010,0.3797695982194841
1939,Danick Martel,LW/C,2013,0.37960710959336663
1940,Kyle Lamb,D,2005,0.3795032854274749
1941,Scott Mayfield,D,2011,0.37947835238343974
1942,Justin Thomas,LW,2011,0.3790920654031957
1943,Nikolai Zolotukhin,C,2003,0.3787056246602955
1944,Trevor Solomon,D,2006,0.37807801646866446
1945,Mathieu Joseph,RW/LW,2015,0.37774887253526823
1946,Matt Crandell,D,2007,0.37745571659645727
1947,Adam Chapman,LW,2012,0.3768252202303128
1948,Logan McVeigh,C,2012,0.3764495235851352
1949,Alex Goligoski,D,2003,0.3759181903658788
1950,Mark Fistric,D,2004,0.37558299805280454
1951,Alexandre Bolduc,C,2003,0.3753327742394367
1952,David Skokan,C/RW,2007,0.3752373890518135
1953,Craig Voakes,LW,2004,0.37486145050256936
1954,Brad Malone,C/W,2007,0.37428111796119606
1955,Justin Murray,D,2016,0.3741703349366522
1956,Jared Freadrich,D,2016,0.37414148275469394
1957,Benjamin Lecomte,D,2008,0.3741198023993222
1958,Cody Franson,D,2005,0.37267259875331227
1959,Samuel Bucek,LW,2017,0.3714901190651748
1960,Gleason Fournier,D,2009,0.3714431960132675
1961,Mike Cichy,C/W,2008,0.37139450887121306
1962,Brock Bradford,C,2005,0.3695721892256273
1963,Greg Milner,C,2011,0.368923364301864
1964,Jordan DePape,RW,2010,0.36878122331097696
1965,John Lee,D,2007,0.36806141461171904
1966,Keith Aulie,D,2007,0.36791556962298266
1967,Matt Bissonnette,C/W,2010,0.36783105720475984
1968,Oscar Sundh,LW/RW,2005,0.3675881199010228
1969,Alexander Wennberg,C,2013,0.3668696468935155
1970,Emil Lundberg,LW/RW,2012,0.3663980958547803
1971,Sami Sandell,LW/C,2005,0.36592412085969306
1972,Casey Fitzgerald,D,2015,0.36576074501439715
1973,Kevin Asselin,RW,2003,0.36571008747481115
1974,Steven Hodges,C,2012,0.36570580234096217
1975,D'Artagnan Joly,RW/C,2017,0.3656454263294361
1976,Ryan Mantha,D,2014,0.3654993311532858
1977,Hugh McGing,C,2016,0.36446722238697415
1978,Tyrel Seaman,C,2012,0.3643392251667228
1979,Zack Stortini,RW,2003,0.3640784789573114
1980,Guillaume Asselin,RW,2010,0.36396667648718006
1981,Dominik Kubalík,LW,2013,0.36346762774605534
1982,Nicolas Guay,RW/D,2017,0.36329369776583254
1983,David Robertson,D,2004,0.3627142181272727
1984,Cole Fraser,D,2017,0.36213495472614654
1985,Josh Mahura,D,2016,0.3621257948472241
1986,Reece Scarlett,D,2011,0.36153009785545964
1987,Matt Halischuk,RW,2006,0.361217232446536
1988,Chris Culligan,C,2006,0.36100321823106984
1989,Dalton Prout,D,2008,0.36094558812275296
1990,Michael Fine,C,2009,0.3607286528522041
1991,Blake Lizotte,C,2016,0.360688658408738
1992,Gustav Olofsson,D,2013,0.36068726964259085
1993,Chase Harrison,D,2015,0.36010367861286374
1994,Matej Stransky,RW,2011,0.3587309497198656
1995,Tyler Bertuzzi,LW/RW,2013,0.35871502154096024
1996,Nikolai Prokhorkin,C/LW,2012,0.3585965984347451
1997,Austin Wagner,LW/C,2015,0.358579206021439
1998,Kevin Spinozzi,D,2014,0.35850797010934454
1999,Howie Martin,C,2005,0.35843233794970086
2000,Charles-Antoine Messier,C,2007,0.3574804337684986
2001,Connor Clifton,D,2013,0.357459146471539
2002,Dylan Coghlan,D,2016,0.3573830427746604
2003,Fredrik Näslund,LW,2004,0.35728425383172424
2004,Joe Snively,LW,2014,0.357278587894718
2005,Jess Tanguy,C,2010,0.3562440340150862
2006,Alex Schoenborn,RW,2014,0.35590138448344655
2007,Chris Bruton,C/RW,2005,0.3557189640265436
2008,Simon Olsson,LW/RW,2008,0.3553930937253263
2009,Tyler Morrison,D,2014,0.35498752504189185
2010,Chris Carlisle,D,2013,0.3544163119045423
2011,Trevor Carrick,D,2012,0.35412862562574887
2012,Axel Blomqvist,LW/RW,2013,0.3534953883605881
2013,Maxim Kitsyn,LW,2010,0.35348735363290806
2014,Radovan Pavlik,RW,2016,0.35334961234866247
2015,Jacob Middleton,D,2014,0.35270053888455033
2016,Lance Bouma,LW/C,2008,0.35210627488422536
2017,Danick Paquette,RW,2008,0.3511142621213895
2018,Yan-Pavel Laplante,LW/C,2013,0.3498537237971324
2019,Ethan Spaxman,D,2015,0.3498275336710341
2020,Troy Murray,D,2015,0.34975340646054853
2021,Josh Godfrey,D,2006,0.34957911008787645
2022,Kyle St. Denis,RW,2008,0.3494988592045966
2023,Dane Muench,LW,2010,0.34940444442199253
2024,Jacob Christiansen,D,2017,0.3491528462409604
2025,Alexandre Centis-Jorge,C,2013,0.3489444269606963
2026,William Tremblay-Gratton,RW,2008,0.34894440187719633
2027,Mathieu St-Onge,RW,2004,0.3489442995451535
2028,Jeff de Wit,C,2016,0.3489410959790347
2029,Alex Barré-Boulet,C,2015,0.3487932812837286
2030,Nick Crawford,D,2008,0.34834356424513946
2031,Semyon Valuisky,LW,2009,0.3480341275642984
2032,Matthew Weis,C,2013,0.3477501830231355
2033,Nicolas Roy,C/RW,2015,0.3476596966018282
2034,Ryan Parent,D,2005,0.34758773395989556
2035,Marcus McIvor,D,2012,0.3474494479066417
2036,Mathieu Gravel,RW,2003,0.3473803959824562
2037,Bobby Nardella,D,2014,0.34734935055855753
2038,Tyler Hore,D,2014,0.34661906353600064
2039,Ryan Reaves,RW,2005,0.3460492820860716
2040,Samuel Hodhod,C,2012,0.34485919972307694
2041,Anthony Cortese,D,2012,0.3444245578965982
2042,Dany Roussin,LW,2003,0.34397218917488115
2043,Bryce Aneloski,D,2008,0.34389598834814084
2044,Zach Wilkie,D,2015,0.34377097020874603
2045,Nick Pageau,D,2006,0.34376318126661626
2046,Sergei Kuptsov,RW,2013,0.3433077106849633
2047,Dan Charleston,F,2003,0.34300432727176855
2048,Matthew Highmore,C/W,2014,0.34266534271492544
2049,Sebastian Ottosson,C/RW,2010,0.34232448289092665
2050,Jonathan Carrier,D,2007,0.34217812735742664
2051,Alex Kile,LW,2012,0.3419855372423207
2052,Anthony Maiani,C,2007,0.34182040710231254
2053,Brennan Menell,D,2015,0.3416413578302234
2054,Jalen Smereck,D,2015,0.3409863961201353
2055,Jean-Simon Deslauriers,D,2013,0.34075323974658667
2056,Cameron Askew,RW,2015,0.34012289062214435
2057,Travis Ehrhardt,D,2007,0.34004830380939477
2058,Gerald Blackmore,F,2017,0.3397440219559835
2059,Payton Liske,LW,2007,0.3395053785225205
2060,Ryan Kavanagh,D,2009,0.339135936196991
2061,Niclas Bergfors,RW,2005,0.3388791212228698
2062,Vinni Lettieri,C/RW,2013,0.3388556776482108
2063,Parker Bowles,LW/C,2013,0.33866739603753293
2064,Blake Parlett,D,2007,0.3386491502560395
2065,Jacob Paquette,D,2017,0.3386329766526758
2066,Clayton Stoner,D,2003,0.33830799267989503
2067,J.T. Barnett,LW,2010,0.3380572571966356
2068,Jan Eberle,LW,2007,0.33800392640638866
2069,Dustin Jeffrey,LW/C,2006,0.33766921377637577
2070,Ted Nilsson,LW/RW,2011,0.3370727494206147
2071,Tyrell Moulton,D,2003,0.3361469030943235
2072,Ty Stanton,D,2013,0.33564139589505154
2073,Dustin Sylvester,C,2007,0.3352874023291162
2074,Brett Lernout,D,2014,0.33513440989736465
2075,Tyler Ferry,D/,2011,0.3350192379848949
2076,Yegor Milovzorov,RW,2006,0.3349432402676852
2077,Matthew Bradley,C,2015,0.33471709647296244
2078,Stefano Giliati,LW/RW,2006,0.33464282483583835
2079,Maximilien Le Sieur,RW,2011,0.33427909359557406
2080,Ben Johnson,C,2012,0.3342781487753299
2081,Derek Dorsett,RW/LW,2005,0.3337299448381896
2082,Dylen McKinlay,RW,2010,0.33363616917457894
2083,Vyacheslav Voynov,D,2008,0.33321649510869755
2084,Marc-Antoine Desnoyers,D,2007,0.3329987540936591
2085,Steven Anthony,LW/C,2009,0.3328763256012879
2086,Stephen Harper,LW/C/D,2013,0.3324056663692183
2087,Nathan Chiarlitti,D,2010,0.330955604887174
2088,Kyle Platzer,RW/C,2013,0.33055321689297007
2089,Joseph Masonius,D,2015,0.33046462976790103
2090,Dylan Plouffe,D,2017,0.32981586800681223
2091,Brett Bruneteau,C,2007,0.3297779867874385
2092,Chris Wideman,D,2008,0.32965828916461837
2093,Trevor Cox,LW,2013,0.32958220483549516
2094,Yannick Tifu,C,2003,0.3288976609664614
2095,Francis Paré,C/W,2005,0.3285445945905513
2096,Ryan MacInnis,C,2014,0.32836914695623487
2097,Colin Jacobs,C,2011,0.32832970313869814
2098,Andrej Kudrna,RW/LW,2009,0.32750928524534684
2099,Reid Gardiner,RW,2014,0.3270230868557506
2100,Mark Versteeg-Lytwyn,LW,2005,0.3269220568588129
2101,Ondrej Vala,D,2016,0.3263206689669512
2102,Steve Ferry,D,2006,0.32590292647751073
2103,Tyler Dittmer,LW,2006,0.325793061516688
2104,John Negrin,D,2007,0.3256193269783411
2105,Brandon Lindberg,C,2015,0.32547868375681155
2106,Otto Somppi,C,2016,0.3252703484154284
2107,Alex Lintuniemi,D,2014,0.3249389260805323
2108,Chase Souto,RW,2013,0.3246502280324983
2109,Tomas Pospisil,RW,2005,0.32410993635652785
2110,David Laliberté,RW,2004,0.3241010173503037
2111,Keegan Lowe,D,2011,0.32394297354184054
2112,Carson Gatt,D,2014,0.3232229971312566
2113,Tim Kennedy,C/LW,2004,0.32316455191256926
2114,Petr Pohl,RW,2004,0.3223884097297053
2115,Ben Gordon,C,2003,0.32182603171350604
2116,C.J. Stretch,C,2007,0.32170981934015447
2117,Eric Meland,D,2008,0.32099345315214245
2118,Colby Sissons,D,2016,0.3207767617052587
2119,Daniel Willett,D,2014,0.3204950111150519
2120,Jeff King,D,2014,0.3204026431018318
2121,Jason Dest,D,2003,0.3200612886331442
2122,Nicholas Caamano,RW/LW,2016,0.31976578663974137
2123,Luke Paulsen,D,2011,0.31912340953615476
2124,Nicolas Deslauriers,LW/RW,2009,0.3187259431714066
2125,Adam Havlík,LW/RW,2009,0.3185316401949864
2126,Jakub Petruzalek,C/RW,2003,0.3185316401949864
2127,Michal Rak,F,2003,0.3185316401949864
2128,Christophe Lalancette,C,2012,0.3177232448399083
2129,Max Gerlach,C/RW,2016,0.31767799226088494
2130,Josh Elzinga,D,2003,0.3175932593045864
2131,Dmitri Samorukov,D,2017,0.31756480883754384
2132,Tyler Murovich,C,2008,0.31719883848661107
2133,Taylor Doherty,D,2009,0.31700119632599266
2134,Alex Yuill,D,2013,0.3168566538540426
2135,Patrik Machac,C,2012,0.31640211958824904
2136,Steven Whitney,C,2009,0.316068956417436
2137,Ryan Papa,LW,2012,0.3159499339745183
2138,Patrik Zdráhal,C/LW,2013,0.3156729816210657
2139,Kyle Pereira,D,2009,0.3152064122470633
2140,Colby Cave,C,2013,0.3150496234208875
2141,Dragan Umicevic,RW,2003,0.3146526448584972
2142,Raymond Eichenlaub,D,2004,0.314448603239896
2143,Barry Sanderson,C,2008,0.31422647719163216
2144,Branislav Rehus,C/RW,2007,0.3139710916941591
2145,Samuel Morin,D,2013,0.31338822454533444
2146,Dan Renouf,D,2012,0.3125978607784054
2147,Stephen Johnston,LW,2008,0.31251849216710925
2148,Aaron Harstad,D,2010,0.3123670755641834
2149,Artur Tyanulin,RW,2015,0.3121333790362036
2150,Dylan Samberg,D,2017,0.31144873436786114
2151,Erik Benoit,C/LW,2012,0.31121998807962964
2152,Thomas Beauregard,RW,2004,0.31111516360924296
2153,Jaycob Megna,D,2011,0.31107788956954757
2154,Karel Hromas,LW,2004,0.3110029243445749
2155,Milan Doudera,D,2011,0.31069115652267043
2156,Jeremy Dehner,D,2005,0.310262712844678
2157,Brandon Prophet,D,2014,0.31016224814842197
2158,Antoine Corbin,D,2010,0.30980211289899795
2159,Victor Ahlström,LW,2005,0.3097662058386541
2160,Dennis Everberg,RW/LW,2010,0.3096321584113247
2161,Gustaf Franzén,C/RW,2015,0.30949125270061406
2162,Brady Gaudet,D,2012,0.30939455293507434
2163,Shawn Belle,D,2003,0.3092011840628591
2164,Lucas Skrumeda,D,2015,0.3091731885423526
2165,Brayden Gorda,D,2017,0.30838833265530735
2166,Eric Hunter,C,2004,0.30827934869087276
2167,Jonathan Diaby,D,2013,0.3081699499638305
2168,Brendan Mikkelson,D,2005,0.3081293106928642
2169,Jacob de la Rose,LW/C,2013,0.3079844882561694
2170,Oskars Bartulis,D,2005,0.30784186957840554
2171,David Broll,LW,2011,0.30759633726557506
2172,Tony Rizzi,RW,2005,0.30704251500791147
2173,Sean O'Connor,RW,2005,0.3066973480158346
2174,Tyler Bell,D,2012,0.30664310285133745
2175,Linus Lindström,C,2016,0.3064901042990194
2176,Nicolas Sigouin,D,2007,0.3063071246375133
2177,Luke Cairns,LW,2012,0.3060599661238044
2178,Mathieu Melanson,RW,2003,0.3059781083846343
2179,Daniel De Sousa,D,2014,0.3056095972916202
2180,Roman Horák,C/LW,2009,0.3053018343531386
2181,Aki Seitsonen,C,2004,0.30493836695744736
2182,Michael Paliotta,D,2011,0.3047267857223945
2183,Matej Galbavý,RW,2017,0.30466369581379815
2184,Mike Reddington,D,2008,0.3042654757452018
2185,Jordan Thomson,D,2014,0.3037306809707411
2186,Willie Coetzee,RW,2009,0.3030684900792112
2187,Denis Mikhnin,RW,2017,0.3029074289563731
2188,Tomas Rubes,C,2011,0.3027329153584594
2189,Charles Inglis,C,2010,0.3027210537916749
2190,Kale Kessy,LW,2011,0.3027037606912154
2191,Jake Linhart,D,2014,0.30262850973614913
2192,Olivier Labelle,RW,2003,0.30242650464372345
2193,Bradley Latour,C/LW,2013,0.3023309127896404
2194,Daniel Revelle,LW,2004,0.3022594547231032
2195,Stefan Chaput,C,2006,0.30208651004981485
2196,Tim Filangieri,D,2005,0.30115423801739005
2197,Marcus Foligno,LW,2009,0.30113445552670126
2198,Trevor Koverko,D,2005,0.3009349735034714
2199,Petr Beranek,RW,2011,0.3008702541069927
2200,Dan Kelly,D,2007,0.300684496718854
2201,Jesse Gimblett,LW,2003,0.3006499517160435
2202,Dylan Larkin,C/LW,2014,0.3006319831369525
2203,Dominik Volek,W/C,2012,0.3004013773643935
2204,Luke Lucyk,D,2004,0.3001449107039503
2205,Jacob Benson,C,2014,0.29993561722673573
2206,Jason Bast,C,2007,0.29978312809527263
2207,Phil Lane,RW,2010,0.2997765108981146
2208,Patrik Nemeth,D,2010,0.29952782225467456
2209,Jesse Barwell,C,2015,0.29938157750539723
2210,Steven Owre,C,2014,0.2989041201608461
2211,Jan Kana,RW,2008,0.2987368902910812
2212,Nick Buonassisi,C,2010,0.2984473727705845
2213,Jean-Simon Allard,C,2007,0.29841506590019745
2214,Andrei Grishakov,LW,2017,0.2980932632897829
2215,Danny Moynihan,C/LW,2014,0.29798481741247784
2216,Chad Morin,D,2006,0.2978628471911849
2217,Zach Osburn,D,2015,0.2975948308651913
2218,Keegan Kolesar,RW,2015,0.2973825017051245
2219,Parker Kelly,C/RW,2017,0.2973296115408433
2220,Jordan Smotherman,LW/RW,2004,0.29718023681925054
2221,Jaroslav Kruzik,D,2008,0.2969546740019409
2222,Jacob Harris,C/W,2013,0.29672640426530905
2223,Troy Lajeunesse,LW,2015,0.29671472361457935
2224,Alex Formenton,LW,2017,0.2965837466212663
2225,Steve Spinell,D,2008,0.29639971489982525
2226,Dylan Willick,RW,2011,0.2963226421774246
2227,Jaden Lindo,RW,2014,0.29613046014275807
2228,Alexander Mikulovich,D,2014,0.2958306339459629
2229,Justin Falk,D,2007,0.2957567265937455
2230,Jarrod Rabey,D,2011,0.29546149578041553
2231,Alexis Pépin,LW,2014,0.29541929638212266
2232,Corey Toy,D,2006,0.2949355495527219
2233,Tory Dello,D,2015,0.2947728472874029
2234,Levi Nelson,C,2006,0.294096873769806
2235,Tyler Wong,RW,2014,0.29372765345662044
2236,Jordan Skellett,LW,2008,0.29371229147503775
2237,Roman Psurny,C/LW,2004,0.2937107511846369
2238,Jean-Philip Chabot,C,2006,0.29356666836311884
2239,Connor Cox,D,2010,0.293535245603663
2240,Sébastien Gauthier,RW/C,2004,0.2933163641071348
2241,Alexander Yaremchuk,F,2017,0.29326621474526915
2242,Raphaël Lafontaine,LW/C,2013,0.29287294871912795
2243,David Cermak,F,2017,0.29284301924062606
2244,Tim Kraus,C,2005,0.29234875934061355
2245,Ryan Lowney,D,2012,0.291844128781356
2246,Zak Zborosky,RW,2015,0.291439772516793
2247,Jason Lundmark,D,2003,0.29141658300900214
2248,Kohl Bauml,C,2013,0.29105509011491093
2249,Yves Bastien,LW,2007,0.2909735718691611
2250,Daniel Vozenilek,LW,2014,0.2906158414940396
2251,Radim Valchar,LW,2007,0.2906158414940396
2252,Milan Gulas,RW,2004,0.2906158414940396
2253,Michal Birner,LW,2004,0.2906158414940396
2254,Roman Prikryl,F,2013,0.2906158414940396
2255,Jiri Kepka,F,2013,0.2906158414940396
2256,Tomas Havranek,F,2016,0.2906158414940396
2257,Jakub Sikora,F,2003,0.2906158414940396
2258,Jan Danecek,C,2004,0.2906158414940396
2259,Jakub Kotala,RW,2014,0.2906158414940396
2260,Tomas Mertl,C,2004,0.2906158414940396
2261,Petr Kalus,LW/RW,2005,0.2906158414940396
2262,Martin Husicka,F/D,2005,0.2906158414940396
2263,Marek Haas,LW/C,2006,0.2906158414940396
2264,Ales Furch,C,2016,0.2906158414940396
2265,Martin Krayzel,F,2003,0.2906158414940396
2266,Lukas Zeliska,C,2006,0.2906158414940396
2267,Lukas Radil,LW/RW,2008,0.29036875896602576
2268,Stefan Della Rovere,LW,2008,0.29019764891150557
2269,Mathieu Henderson,D,2014,0.2901701789961588
2270,Lucas Wallmark,C,2013,0.2899564312991289
2271,Steven Trojanovic,D,2011,0.2899560915471525
2272,Yasin Cissé,RW,2010,0.2898696796399342
2273,Kade Jensen,D,2015,0.2895484109410904
2274,Brian Williams,C,2013,0.2894689672123063
2275,Mitchell Byrne,D,2016,0.2889797895845295
2276,Nicolas Blanchard,LW,2005,0.28874694595408545
2277,Cameron Hebig,C,2015,0.2885915540696889
2278,Brett Ward,D,2007,0.28795361574662437
2279,Keaton Turkiewicz,RW,2006,0.2878908101444816
2280,Todd Fiddler,LW,2011,0.28697180303300907
2281,Dylan Sadowy,LW,2014,0.2869505662417925
2282,Samuel Groulx,D,2008,0.2867427488365147
2283,Jordan Fransoo,D,2011,0.286569592885275
2284,Aaron Gagnon,C/RW,2004,0.2865424468696803
2285,Jan Stransky,RW,2008,0.2863228575753876
2286,Denis Kindl,C,2010,0.2859550803936857
2287,Kyle Clifford,LW/RW,2009,0.28588599135443726
2288,Brett Davis,C,2017,0.2857329677270246
2289,Nathaniel Kallen,D,2016,0.28570302545620774
2290,Max Everson,D,2011,0.2856742974343879
2291,Anthony DeMeo,D,2017,0.28563710348410987
2292,Colin Suellentrop,D,2011,0.28562833847128716
2293,Aaron Bader,LW,2003,0.2855690233374689
2294,Trent Fox,LW,2015,0.2852070057899707
2295,Andrei Pisarev,F,2007,0.2847383608360975
2296,Ignat Zemchenko,LW,2010,0.2847383608360975
2297,Martin Bakos,W/C,2008,0.2847383608360975
2298,Stanislav Bocharov,LW/RW,2009,0.2847383608360975
2299,Stepan Sannikov,LW,2009,0.2847383608360975
2300,Ilya Khurinov,F,2005,0.2847383608360975
2301,Radik Zakiyev,F,2005,0.2847383608360975
2302,Konstantin Makarov,LW,2004,0.2847383608360975
2303,Marsel Sholokhov,RW,2016,0.2847383608360975
2304,Irek Khafizov,F,2005,0.2847383608360975
2305,Alexander Kucheryavenko,C,2005,0.2847383608360975
2306,Alexander Radulov,RW,2004,0.2847383608360975
2307,Anton Ivanyuzhenkov,F,2012,0.2847383608360975
2308,Igor Shvyryov,C,2016,0.2847383608360975
2309,Maxim Trunyov,RW/LW,2008,0.2847383608360975
2310,Semyon Kokuyov,RW,2005,0.2847383608360975
2311,Yevgeni Grachyov,C/W,2008,0.2847383608360975
2312,Dmitri Suvorov,F,2009,0.2847383608360975
2313,Kalvin Sagert,D,2005,0.28465450571197715
2314,Carter Bancks,LW/RW,2007,0.28458242399106076
2315,Cristiano DiGiacinto,LW,2014,0.28457558527031
2316,Andreas Johansson,LW,2003,0.2844718047509512
2317,Evan de Haan,D,2013,0.284442831047802
2318,Alexander Hilmerson,C/LW,2009,0.2839399810203507
2319,Marco Franchini,C,2008,0.2839390740585996
2320,Victor Öhman,LW,2010,0.2837460715919917
2321,Connor Honey,RW,2012,0.28353493701817
2322,Radim Hruska,C,2003,0.28324115580526665
2323,Dylan Smoskowitz,C,2011,0.28318523478131996
2324,Jeff Corbett,D,2013,0.2830944723197464
2325,Sergei Zborovsky,D,2015,0.28284318651665796
