,Player,Position,draft_score
143,Connor Roberts,C,0.698712877052774
144,Jackson Leppard,LW,0.690058169202983
145,Michael Callahan,D,0.6803149148642911
146,Dominik Bokk,RW,0.6724471522172428
147,Carter Robertson,D,0.66810055353525
148,Filip Johansson,D,0.6440064815525196
149,Owen Lalonde,D,0.6348496424692571
150,Elijah Brown,C,0.6342513817851336
151,Tyler Jubenvill,D,0.6302652661088305
152,David Lilja,C,0.6294566532505119
153,John Ludvig,D,0.6287718039993266
154,Ilijah Colina,C,0.6224666019730378
155,Carson Focht,C,0.6220591338248714
156,Michal Kvasnica,RW/LW,0.6180989495819771
157,Yegor Sokolov,RW,0.6175139346191202
158,Matthew MacDougall,LW,0.6131290916725248
159,Martin Pospisil,RW,0.6110676000075967
160,Brodi Stuart,LW,0.6083770074042424
161,Roman Kalinichenko,D,0.6044299622461304
162,Mitchell Prowse,D,0.6029608093684171
163,Jake Goldowski,C,0.5831886405150558
164,Michael Kesselring,D,0.5736034149113163
165,Hunter Holmes,C,0.5611746601285785
166,Grigori Denisenko,LW,0.555481317549905
167,Thomas Ashe,D,0.5554439029861528
168,D.J. King,D,0.5502995487999559
169,Brett Kemp,C,0.5488217026871057
170,D.J. Busdeker,RW,0.5461805888423845
171,Alexis Girard,D,0.5310765286975653
172,Stanislav Demin,D,0.5259689626747888
173,Liam Kindree,RW,0.5223994374212024
174,William Ennis,D,0.5217312256515186
175,Johan Södergran,C/W,0.5177130030747793
176,Mathias Laferrière,C,0.5096391201808028
177,Jakob Heljemo,C/LW,0.4887119773670681
178,Samuel Fagemo,LW/RW,0.4887119773670681
179,Martin Fasko-Rudas,LW,0.4822026484199083
180,Adam McMaster,C,0.48107244296798457
181,Michal Ivan,D,0.4803879915308285
182,Kevin Bahl,D,0.47837741480371426
183,Carter Randklev,F,0.478150684510376
184,Krystof Hrabik,C,0.4741468357980704
185,Thomas Stevenson,D,0.4738104685789458
186,Montana Onyebuchi,D,0.47220113645460865
187,Erik Middendorf,LW,0.4669553151183924
188,Zack Malík,D,0.4669352834372106
189,Victor Sandberg,LW/RW,0.465463292591338
190,Kevin Wennström,C,0.465463292591338
191,Christoffer Jona,RW/LW,0.465463292591338
192,Samuel Houde,C,0.45594731849934955
193,Libor Zábranský,D,0.4528606033951855
